temperature,rainfall,humidity,wind_speed,disaster
28,20,55,12,Normal
30,35,60,15,Normal
27,18,50,10,Normal
29,25,58,18,Normal
31,40,62,20,Normal
26,15,48,8,Normal
32,45,65,22,Normal
30,30,57,16,Normal
28,22,54,14,Normal
29,28,59,17,Normal
33,220,88,25,Flood
31,250,90,20,Flood
29,280,92,18,Flood
30,240,89,22,Flood
32,300,95,30,Flood
34,260,91,28,Flood
33,230,87,24,Flood
31,270,93,26,Flood
30,290,94,21,Flood
32,310,96,27,Flood
42,15,25,18,Wildfire
44,10,20,15,Wildfire
45,8,18,12,Wildfire
43,12,22,16,Wildfire
46,5,15,10,Wildfire
41,18,28,20,Wildfire
47,7,17,14,Wildfire
44,9,19,13,Wildfire
45,6,16,11,Wildfire
43,14,24,17,Wildfire
30,80,75,95,Cyclone
29,90,78,100,Cyclone
31,70,72,105,Cyclone
32,85,80,110,Cyclone
30,95,82,115,Cyclone
28,75,74,98,Cyclone
29,88,79,108,Cyclone
31,92,81,112,Cyclone
30,78,76,102,Cyclone
32,96,83,118,Cyclone
39,5,20,8,Drought
40,3,18,10,Drought
41,2,15,12,Drought
38,4,22,9,Drought
42,1,12,11,Drought
43,0,10,13,Drought
40,2,16,10,Drought
39,3,19,8,Drought
41,1,14,12,Drought
42,0,11,14,Drought
